yeshuv,yeshuv_code,amount,f_ussr,ethiopia,india,france,usa,argentina,britain,other,num_of_residents,olim_percent,regional_council,region,office
נתיבות,246,518,194,0,0,185,51,6,3,79,45719,1.10%,,באר שבע והנגב (מרחב),נתיבות
כפר יונה,168,516,239,1,0,205,14,2,16,39,28264,1.80%,,נתניה והשרון (מרחב),
גבעת זאב,3730,475,73,0,0,70,210,10,21,91,21877,2.20%,,ירושלים (מרחב),
יבנה,2660,464,280,1,10,31,52,3,2,85,56736,0.80%,,חולון (מרחב),רחובות
רמת השרון,2650,454,166,0,0,42,101,7,26,112,52491,0.90%,,תל אביב (מרחב),
אופקים,31,453,328,0,0,46,14,3,1,61,37467,1.20%,,באר שבע והנגב (מרחב),אופקים
בית אלפא,95,422,0,418,0,0,2,1,0,1,1271,33.20%,הגלבוע,נוף הגליל והעמקים (מרחב),עפולה
קיסריה,1167,390,227,0,0,50,54,1,10,48,7100,5.50%,חוף הכרמל,חדרה (מרחב),
דימונה,2200,390,320,0,2,18,14,4,5,27,40849,1.00%,,באר שבע והנגב (מרחב),דימונה
קרית שמונה,2800,349,165,0,139,7,12,0,3,23,24401,1.40%,,גליל עליון (מרחב),קרית שמונה
אור יהודה,2400,338,251,0,0,5,48,5,1,28,37615,0.90%,,פתח תקוה (מרחב),
מודיעין עילית,3797,332,30,0,0,99,63,27,45,68,84233,0.40%,,פתח תקוה (מרחב),רמלה - לוד
מבשרת ציון,1015,314,156,0,0,30,67,8,6,47,27288,1.20%,,ירושלים (מרחב),
נס ציונה,7200,283,157,0,1,11,34,5,13,62,49647,0.60%,,חולון (מרחב),רחובות
באר יעקב,2530,269,201,5,1,10,21,1,2,28,29560,0.90%,,פתח תקוה (מרחב),רמלה - לוד
תל מונד,154,262,20,0,0,14,95,3,33,97,15176,1.70%,,נתניה והשרון (מרחב),
קרית מלאכי,1034,242,150,5,1,33,25,2,0,26,27580,0.90%,,אשדוד (מרחב),קרית מלאכי
כוכב יעקב,3779,220,3,0,0,49,57,2,8,101,10177,2.20%,מטה בנימין,ירושלים (מרחב),
יהוד-מונוסון,9400,218,132,0,1,10,20,0,8,47,32705,0.70%,,פתח תקוה (מרחב),
גן יבנה,166,211,122,23,0,46,12,0,0,8,24832,0.80%,,אשדוד (מרחב),
קרית טבעון,2300,208,121,0,0,6,39,3,6,33,18845,1.10%,,חיפה (מרחב),
צור הדסה,1113,207,96,3,0,1,74,2,5,26,10819,1.90%,מטה יהודה,ירושלים (מרחב),
חשמונאים,3770,205,4,0,0,1,168,0,4,28,3122,6.60%,מטה בנימין,פתח תקוה (מרחב),רמלה - לוד
בית שאן,9200,200,44,13,124,9,6,0,0,4,21023,1.00%,,נוף הגליל והעמקים (מרחב),
גני תקווה,229,192,103,0,0,22,31,0,3,33,24300,0.80%,,פתח תקוה (מרחב),
"בני עי""ש",1066,183,171,0,1,1,2,0,0,8,7428,2.50%,,אשדוד (מרחב),
קרני שומרון,3640,183,72,0,0,0,88,0,3,20,10554,1.70%,,נתניה והשרון (מרחב),השרון
ירוחם,831,166,108,0,1,8,27,0,0,22,12006,1.40%,,באר שבע והנגב (מרחב),ירוחם
מרחביה )קיבוץ(,66,158,150,0,0,1,1,0,0,6,1421,11.10%,עמק יזרעאל,נוף הגליל והעמקים (מרחב),עפולה
אלון שבות,3604,158,14,0,0,5,81,1,12,45,3503,4.50%,גוש עציון,ירושלים (מרחב),קרית ארבע
גדרה,2550,155,106,0,0,5,19,4,0,21,29218,0.50%,,חולון (מרחב),רחובות
נווה דניאל,3725,154,12,0,0,3,104,4,4,27,2667,5.80%,גוש עציון,ירושלים (מרחב),
קדימה-צורן,195,151,58,0,0,41,17,1,6,28,23245,0.60%,,נתניה והשרון (מרחב),
קרית ארבע,3611,151,40,0,56,9,14,0,1,31,8262,1.80%,,ירושלים (מרחב),קרית ארבע
מעגן מיכאל,694,147,12,0,3,5,24,39,2,62,2374,6.20%,חוף הכרמל,חדרה (מרחב),
שוהם,1304,145,58,0,0,11,49,3,4,20,22555,0.60%,,פתח תקוה (מרחב),
אבן יהודה,182,140,29,0,0,23,31,8,2,47,15201,0.90%,,נתניה והשרון (מרחב),
קרית יערים,1137,137,7,0,0,12,62,10,7,39,7187,1.90%,,ירושלים (מרחב),
אלעד,1309,134,9,0,3,41,19,13,0,49,49430,0.30%,,פתח תקוה (מרחב),
עתלית,53,133,75,0,0,10,17,2,4,25,10790,1.20%,חוף הכרמל,חיפה (מרחב),
תקוע,3563,131,55,0,0,16,42,0,1,17,4632,2.80%,גוש עציון,ירושלים (מרחב),קרית ארבע
ברוכין,3744,130,0,0,0,128,1,0,0,1,2228,5.80%,שומרון,פתח תקוה (מרחב),אריאל (מוקד)
אזור,565,128,84,0,0,5,8,0,3,28,13883,0.90%,,חולון (מרחב),
נוקדים,3726,128,106,0,0,1,8,0,4,9,2642,4.80%,גוש עציון,ירושלים (מרחב),קרית ארבע
יקיר,3647,126,0,0,0,123,2,0,1,0,2693,4.70%,שומרון,פתח תקוה (מרחב),אריאל (מוקד)
ניצנה )קהילת חינוך(,1195,125,120,0,0,0,1,0,0,4,330,37.90%,רמת נגב,באר שבע והנגב (מרחב),
שדה אליהו,304,124,0,0,0,3,64,12,11,34,930,13.30%,עמק המעיינות,נוף הגליל והעמקים (מרחב),עפולה
חיננית,3643,120,114,0,0,1,3,0,0,2,1710,7.00%,שומרון,חדרה (מרחב),
יגור,96,108,33,0,0,2,32,12,2,27,1911,5.70%,זבולון,חיפה (מרחב),
עין השופט,270,108,49,0,1,0,16,22,0,20,1228,8.80%,מגידו,חדרה (מרחב),
עלי,3765,108,9,0,0,60,16,0,0,23,4460,2.40%,מטה בנימין,ירושלים (מרחב),
יד בנימין,577,107,0,0,0,9,56,0,8,34,4465,2.40%,נחל שורק,אשדוד (מרחב),
מזכרת בתיה,28,106,40,0,0,3,37,1,3,22,16830,0.60%,,חולון (מרחב),רחובות
בנימינה-גבעת עדה,9800,102,25,0,2,9,32,0,6,28,16110,0.60%,,חדרה (מרחב),
מצפה יריחו,3576,101,0,0,0,1,79,0,1,20,2596,3.90%,מטה בנימין,ירושלים (מרחב),
מצפה רמון,99,88,54,0,0,6,19,0,3,6,5614,1.60%,,באר שבע והנגב (מרחב),מצפה רמון(מוקד)
רביבים,354,87,58,0,0,1,0,14,1,13,986,8.80%,רמת נגב,באר שבע והנגב (מרחב),
"כפר חב""ד",696,87,41,0,0,7,22,8,2,7,7936,1.10%,שדות דן,פתח תקוה (מרחב),רמלה - לוד
משאבי שדה,421,86,67,0,0,5,1,6,0,7,628,13.70%,רמת נגב,באר שבע והנגב (מרחב),
שלומי,812,85,66,0,0,4,7,1,0,7,7959,1.10%,,גליל עליון (מרחב),נהריה
בית אל,3574,83,6,0,3,13,23,0,0,38,5958,1.40%,,ירושלים (מרחב),
גבע בנימין,3763,83,28,0,2,4,14,5,6,24,5990,1.40%,מטה בנימין,ירושלים (מרחב),
אלפי מנשה,3750,80,52,0,0,2,12,0,0,14,8613,0.90%,,נתניה והשרון (מרחב),השרון
עומר,666,79,57,0,0,1,11,1,0,9,9111,0.90%,,באר שבע והנגב (מרחב),
גני מודיעין,3823,76,3,0,0,3,62,0,3,5,3516,2.20%,מטה בנימין,פתח תקוה (מרחב),רמלה - לוד
כפר ורדים,1263,74,31,0,0,2,24,0,2,15,6284,1.20%,,גליל עליון (מרחב),מעלות
עיינות,156,72,65,0,0,0,1,0,0,6,243,29.60%,גן רווה,חולון (מרחב),ראשון לציון (סניף)
חצור הגלילית,2034,71,61,0,0,0,3,0,3,4,11043,0.60%,,גליל עליון (מרחב),צפת
כפר שמריהו,267,69,33,0,0,7,12,0,12,5,2585,2.70%,,תל אביב (מרחב),
מיתר,1268,68,29,0,0,2,20,1,2,14,12202,0.60%,,באר שבע והנגב (מרחב),
פדואל,3768,68,0,0,0,67,1,0,0,0,2259,3.00%,שומרון,פתח תקוה (מרחב),אריאל (מוקד)
כוכב יאיר,1224,67,23,0,0,4,17,2,3,18,10519,0.60%,,נתניה והשרון (מרחב),השרון
אורנית,3760,67,39,0,0,3,11,1,1,12,9974,0.70%,,פתח תקוה (מרחב),
יבנאל,46,66,4,0,0,6,42,0,0,14,4683,1.40%,,נוף הגליל והעמקים (מרחב),טבריה
שער שומרון,3826,66,30,0,0,8,13,1,5,9,,#DIV/0!,,פתח תקוה (מרחב),אריאל (מוקד)
אשדות יעקב  )מאוחד(,188,62,50,0,0,0,3,1,0,8,842,7.40%,עמק הירדן,נוף הגליל והעמקים (מרחב),טבריה
אפיקים,176,61,43,0,0,1,12,0,0,5,1396,4.40%,עמק הירדן,נוף הגליל והעמקים (מרחב),טבריה
סביון,587,61,21,0,0,0,19,0,6,15,5348,1.10%,,פתח תקוה (מרחב),
כפר מסריק,297,60,14,0,0,1,19,0,7,19,842,7.10%,מטה אשר,גליל עליון (מרחב),עכו
רכסים,922,59,16,0,0,18,11,2,1,11,13816,0.40%,,חיפה (מרחב),
נען,158,58,9,0,0,4,15,9,0,21,1979,2.90%,גזר,חולון (מרחב),רחובות
יחיעם,409,57,46,0,0,0,4,1,1,5,934,6.10%,מטה אשר,גליל עליון (מרחב),
קרית עקרון,469,56,48,1,0,1,3,2,1,0,11282,0.50%,,חולון (מרחב),רחובות
מצפה נטופה,1190,56,0,0,0,0,25,0,9,22,1161,4.80%,הגליל התחתון,נוף הגליל והעמקים (מרחב),
רבבה,3795,55,23,0,0,23,2,0,1,6,3131,1.80%,שומרון,פתח תקוה (מרחב),אריאל (מוקד)
גזית,457,52,0,0,0,0,45,0,0,7,909,5.70%,עמק יזרעאל,נוף הגליל והעמקים (מרחב),עפולה
עין השלושה,676,52,45,0,0,0,1,6,0,0,429,12.10%,אשכול,באר שבע והנגב (מרחב),אופקים
