מספר חלצ,תאריך רישום חלצ,שם חלצ בעברית,שם חלצ באנגלית,סטטוס חלצ,מטרות ארגון רשמיות,סיווג פעילות ענפי,תחום פעילות,שנת דיווח דוח כספי אחרון,מחזור - נתונים מדוח מילולי מקוון,מתנדבים- נתונים מדוח מילולי מקוון,עובדים- נתונים מדוח מילולי מקוון,איזורי פעילות,מקומות פעילות,תאריך עדכון אחרון של נתוני חלצ,כתובת - ישוב,כתובת - רחוב,כתובת - מספר דירה,כתובת - מיקוד,מען - ישוב,מען - רחוב,מען - מספר דירה,מען - מיקוד,מען - מיקוד תיבת דואר,מען - תיבת דואר,תאריך התחלה תוקף מטרות עמותה,תאריך ביקורת עומק אחרונה,Column1
513422030,12/03/2013,פנימיות איזון גוף ונפש בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",,,,,,,20/12/2022,תל אביב - יפו,חיים לבנון ,45,0,,,,0,0,0,,,
513429779,13/03/2013,ישיבת נתיב אריה בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית",ישיבה – כולל,2022,21742218,3,109,מרכז,,20/12/2022,ירושלים,הכותל,1,9750701,,,,0,0,0,,27/12/2021,
513412361,12/03/2013,הקרן לפיתוח טבריה  בע~מ (חל~צ),TIBERIAS DEVELOPMENT FUND  LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,שירותי רווחה,אחר - שירותי רווחה,2021,11350,0,0,מרכז,,20/12/2022,טבריה,ביבאס,3,1421003,,,,0,0,0,,,
513413534,04/04/2013,דרך התורה בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2021,500269,0,0,מרכז,,20/12/2022,בני ברק,יואל,10,5136330,,,,0,0,0,,27/12/2021,
513442970,,פארק איילון עם שדות ירוקים בע~מ,AYALON PARK WITH GREEN FIELDS LTD,פעילה,לעסוק בכל עיסוק חוקי,שיכון ופיתוח עירוני,יוזמות עסקיות,,,,,,,20/12/2022,,,,0,אור יהודה,אתר חירייה,,60200,473,473,,,
513447656,04/04/2013,מרכז מורשת הרמב~ם בע~מ (חל~צ),MAIMONIDES HERITAGE CENTER LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,דת,אחר - דת,2022,952848,9,0,מרכז,,16/07/2023,ירושלים,קרן היסוד,19,0,,,,0,0,0,,27/12/2021,
513451583,11/02/2013,מכון גרטנר לחקר אפידמיולוגיה ומדיניות בריאות בע~מ (חל~צ),,בפרוק מרצון,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2020,13173571,0,59,דרום,,12/03/2023,תל השומר,,0,5262000,,,,0,0,0,,27/12/2021,
513457861,05/03/2013,יובלים חברה לתועלת הציבור בע~מ (חל~צ),YUVALIM A PUBLIC BENEFIT COMPANY LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,קהילה וחברה,"מרכז קהילתי, מתנס",2019,7265548,0,8,דרום,,20/12/2022,חיפה,הנטקה,43,3460818,,,,0,0,0,,,
513471854,,מועדון הספורט רמת אפעל - חברה לתועלת הציבור בע~מ,RAMAT EFAL SPORT CLUB - PUBLIC BENEFIT COMPANY LTD,מחוסלת מרצון,לעסוק בכל עיסוק חוקי,,,,,,,,,20/12/2022,רמת גן,שד האורנים רמת אפעל,1,5296000,,,,0,0,0,,,
513474148,12/03/2013,"גשרים - ייעוץ, טיפול, הכוון ומחקר בע~מ (חל~צ)",,פעילה,לעסוק בכל עיסוק חוקי,קהילה וחברה,אחר - קהילה וחברה,2022,171505,0,1,דרום,,20/12/2022,פתח תקווה,טרומפלדור,36,4940328,,,,0,0,0,,27/12/2021,
